id,tipo_de_servicio,sede,objeto_de_la_atencion,full_address,calle,numero_exterior,numero_interior,colonia,codigo_postal,alcaldia,referencias_de_ubicacion,horario_de_atencion_horas,dias_de_atencion,correo_electronico,telefono_1,extension_1,telefono_2,extension_2,latitude,longitude,numero_consecutivo,coordenadas
54,Fiscalía de Procesos de Juzgados Familiares,Juzgados Familiares (Agencia 75 BIS ),"Conoce de denuncias a lo relacionado en materia familiar. integrar las averiguaciones previas, así como llevar a cabo las conciliaciones en materia familiar, cuando resulte procedente; y, asesorar, y en su caso, canalizar al Centro de Justicia Alternativa del TSJ o a la institución respectiva.",General Gabriel Hernández  56 S/N Doctores Cuauhtémoc 06720 CDMX,General Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,"4° piso
Edificio Búnker Cerca de metro Balderas",09:00-17:00,Lunes-Viernes,gabrielas_juarez@fgjcdmx.gob.mx,5345 5124,5124,S/N,,19.4243727,-99.1473881,80,"19.4243727,-99.1473881"
55,Atención a Víctimas,Agencia Especializada para la atención de personas Adultas Mayores Víctimas de Violencia Familiar (Zona Oriente),"Brinda atención integral a las personas adultas mayores en casos de violencia familiar, conoce de los hechos de violencia familiar que les afecten como víctimas u ofendidos, iniciando, integrando y determinando las indagatorias
correspondientes.",Avenida Del Rosal S/N S/N Magdalena Atlazolpa Iztapalapa 09410 CDMX,Avenida Del Rosal,S/N,S/N,Magdalena Atlazolpa,9410,Iztapalapa,Cerca de metro Apatlaco,09:00-17:00,Lunes-Viernes,jaime_lbanuelos@fgjcdmx.gob.mx,5200 9624,14616,S/N,,19.3776946,-99.1090382,83,"19.3776946,-99.1090382"
56,Atención a Víctimas,Centro de Justicia para las Mujeres en la CDMX (Azcapotzalco),"Es un espacio en donde se proporciona seguridad y atención a mujeres, sus hijas e hijos que se encuentren en situación de víctimas por violencia de género.",Avenida San Pablo N°396  Azcapotzalco Ciudad de México S/N S/N San Martín Xochinahuac Azcapotzalco 02120 CDMX,Avenida San Pablo N°396  Azcapotzalco Ciudad de México,S/N,S/N,San Martín Xochinahuac,2120,Azcapotzalco,,24 hrs.,Lunes-Domingo,cjmcdmx.azc@gmail.com,5346 8370,8370,5346 8394,8394,19.500868,-99.1853858,84,"19.500868,-99.1853858"
57,Atención a Víctimas,Centro de Justicia para las Mujeres en la CDMX (Iztapalapa),"Es un espacio en donde se proporciona seguridad y atención a mujeres, sus hijas e hijos que se encuentren en situación de víctimas por violencia de género.",Calle 20 de Noviembre manzana 227 lote 29  S/N S/N Colonia Ixtlahuacan Iztapalapa 09690 CDMX,Calle 20 de Noviembre manzana 227 lote 29,S/N,S/N,Colonia Ixtlahuacan,9690,Iztapalapa,Cerca del CETIS 42,24 hrs.,Lunes-Domingo,cjmiztapalapa@fgjcdmx.gob.mx,5345 5737,5737,S/N,,19.3430274,-98.9967294,85,"19.3430274,-98.9967294"
58,Atención a Víctimas,Centro de Terapia de Apoyo a Víctimas de Delitos Sexuales (CTA),Terapia de apoyo a víctimas de delitos sexuales,Calle Enrique Pestalozzi  1115 S/N Del Valle Benito Juárez 03100 CDMX,Calle Enrique Pestalozzi,1115,S/N,Del Valle,3100,Benito Juárez,Entre Samuel Serrano y Eje 6 Angel Urraza,09:00-19:00,Lunes-Viernes,centrocta@gmail.com,5200 9632,S/N,5200 9634,S/N,19.3811702,-99.1610318,87,"19.3811702,-99.1610318"
59,Atención a Víctimas,Centro de Apoyo Sociojurídico a Víctimas del Delito Violento (ADEVI),"Atención sociojurídica a
víctimas de delitos violentos",Av. José María Izazaga  89 S/N Centro Cuauhtémoc 06080 CDMX,Av. José María Izazaga,89,S/N,Centro,6080,Cuauhtémoc,"4° piso
Entre las calles Isabel la Catolica y 5 de febrero 
Enfrente de la Universidad  Claustro de Sor Juana",09:00-19:00,Lunes-Viernes,centradevi@gmail.com,5200 9197,14106,5200 9200,S/N,19.4257952,-99.1365354,90,"19.4257952,-99.1365354"
60,Fiscalía Central de Investigación,Fiscalía Central de Investigación para la Atención del Delito de Trata de Personas,"Se encarga de investigar los delitos de trata de personas en sus modalidades de esclavitud, condición de siervo, prostitución ajena u otras formas de explotación sexual, explotación laboral, trabajo o servicios forzados, mendicidad forzosa, así como utilización de personas menores de dieciocho años en la comisión de actividades delictivas.",General Gabriel Hernández  56 S/N Doctores Cuauhtémoc 06720 CDMX,General Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,Búnker de la Fiscalía General de Justicia de la Ciudad México,24 hrs.,365,agenciaftp1@fgjcdmx.gob.mx,5346 8480,S/N,S/N,,19.4243727,-99.1473881,92,"19.4243727,-99.1473881"
61,Fiscalía Central de Investigación,"Fiscalía Central de Investigación para la Atención de Niños, Niñas y Adolescentes (Agencia 59)","Proteger la integridad de los niños, niñas y adolescentes y evitar su vulnerabilidad física y psicológica, mediante la atención de delitos que atenten contra sus derechos como omisión de auxilio o de cuidado, peligro de contagio, tráfico de menores, lenocinio, explotación laboral de menores, delitos que atenten contra el cumplimiento de la obligación alimenticia, violencia familiar y discriminación. Además de buscar la de reparación del daño mediante apoyo psicológico.",Doctor Liceaga 93 S/N Doctores Cuauhtémoc 06720 CDMX,Doctor Liceaga,93,S/N,Doctores,6720,Cuauhtémoc,Una cuadra atrás del Búnker,24 hrs.,Lunes-Domingo,maria_cedeno@fgjcdmx.gob.mx,5242 6121,6121,S/N,,19.4220785,-99.1477854,96,"19.4220785,-99.1477854"
62,Atención a Víctimas,Dirección de Cultura de la No Violencia y Orientación Jurídica,Promueve acciones institucionales en favor de la cultura de la legalidad y la no violencia entre la Ciudad de México.,General Gabriel Hernández 56 S/N Doctores  Cuauhtémoc 06720 CDMX,General Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,"3° piso
Metro Balderas",09:00-19:00,Lunes-Viernes,dcnvyorientacionjuridica@gmail.com,5534 55192,5192,5345 5231,5231,19.4243727,-99.1473881,98,"19.4243727,-99.1473881"
63,Fiscalía Central de Investigación,Fiscalía Especializada para la Investigación para el Delito de Feminicidio,"Investigar y diseñar un programa de buenas prácticas para la atención, investigación y combate a la impunidad del delito de feminicidio. Así como atender a las mujeres víctimas indirectas.",Avenida Jardín 356 S/N Del Gas Azcapotzalco 02950 CDMX,Avenida Jardín,356,S/N,Del Gas,2950,Azcapotzalco,Quinta cerrada de Avenida Jardín,09:00-18:30,Lunes-Viernes,irlanda_salgado@fgjcdmx.gob.mx,5345 5965,S/N,5345 5977,S/N,19.4698217,-99.1599722,99,"19.4698217,-99.1599722"
64,Fiscalía Central de Investigación,Fiscalía de Delitos Sexuales (Agencia 1),"Agencia de la FGJ donde se ofrece atención integral con perspectiva de género, asistencia legal, médica y psicológica a víctimas de agresión sexual en las modalidades de violación, acoso o abuso.",Amberes  54 S/N Juárez Cuauhtémoc 06600 CDMX,Amberes,54,S/N,Juárez,6600,Cuauhtémoc,"Planta Baja
A un costado del Consejo Ciudadano",24 hrs.,Lunes-Domingo,ediazc@fgjcdmx.gob.mx,5345 5399,5399,S/N,,19.4252412,-99.1649364,100,"19.4252412,-99.1649364"
65,Fiscalía Central de Investigación,Fiscalía de Delitos Sexuales (Agencia 2),"Agencia de la FGJ donde se ofrece atención integral con perspectiva de género, asistencia legal, médica y psicológica a víctimas de agresión sexual en las modalidades de violación, acoso o abuso.","Avenida Toluca, esquina Avenida México S/N S/N Progreso Tizapan. Álvaro Obregón 01080 CDMX","Avenida Toluca, esquina Avenida México",S/N,S/N,Progreso Tizapan.,1080,Álvaro Obregón,Al lado de la Coordinación territorial 3.,24 hrs.,Lunes-Domingo,andrea_calderon@fgjcdmx.gob.m,5200 9568,9568,5200 9579,9579,19.3408128,-99.2032474,101,"19.3408128,-99.2032474"
66,Fiscalía Central de Investigación,Fiscalía de Delitos Sexuales (Agencia 3),"Agencia de la FGJ donde se ofrece atención integral con perspectiva de género, asistencia legal, médica y psicológica a víctimas de agresión sexual en las modalidades de violación, acoso o abuso.",Francisco del Paso y Troncoso  esquina Fray Servando Teresa de Mier  S/N S/N Jardín Balbuena Venustiano Carranza 15900 CDMX,Francisco del Paso y Troncoso  esquina Fray Servando Teresa de Mier,S/N,S/N,Jardín Balbuena,15900,Venustiano Carranza,Alcaldía Venustiano Carranza,24 hrs.,Lunes-Domingo,ruben_reyes@ fgjcdmx.gob.mx,5345 5832,5832,5345 5830,5830,19.4205362,-99.1122539,102,"19.4205362,-99.1122539"
67,Fiscalía Central de Investigación,Fiscalía de Delitos Sexuales (Agencia 4),"Agencia de la FGJ donde se ofrece atención integral con perspectiva de género, asistencia legal, médica y psicológica a víctimas de agresión sexual en las modalidades de violación, acoso o abuso.","Cerrada Sur de los Cien Metros, esquina Eje Central S/N S/N Nueva Vallejo Gustavo A. Madero 07050 CDMX","Cerrada Sur de los Cien Metros, esquina Eje Central",S/N,S/N,Nueva Vallejo,7050,Gustavo A. Madero,Metro Instituto del Petróleo,24 hrs.,Lunes-Domingo,miguel_alvarezm@fgjcdmx.gob.mx,5346 8042,8042,5346 8043,8043,19.4807046,-99.1416938,103,"19.4807046,-99.1416938"
68,Fiscalía Central de Investigación,Fiscalía de Delitos Sexuales (Agencia 6),"Agencia de la FGJ donde se ofrece atención integral con perspectiva de género, asistencia legal, médica y psicológica a víctimas de agresión sexual en las modalidades de violación, acoso o abuso.",General Gabriel Hernández  56 S/N Doctores Cuauhtémoc 06720 CDMX,General Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,"1er piso
Cerca Metro Balderas",24 hrs.,Lunes-Domingo,rocio_landeros@fgjcdmx.gob.mx,5345 5136,5136,5346 8116,8116,19.4243727,-99.1473881,105,"19.4243727,-99.1473881"
69,Atención a Víctimas,Centro de Prevención Social de la Violencia y la Delincuencia con Participación Ciudadana,"Área responsable de promover una la prevención del delito, mediante la participación activa de los ciudadanos dentro de una cultura de la legalidad, generando espacios para la participación para la juventud como agentes de cambio, mujeres, niñas y niños y demás grupos sociales, que contribuyan a la cohesión social para efecto de prevenir el desarrollo o comisión de conductas antisociales.",General Gabriel Hernández  56 S/N Doctores  Cuauhtémoc 06720 CDMX,General Gabriel Hernández,56,S/N,Doctores,6720,Cuauhtémoc,Esquina con Doctor Río de la Loza,09:00-15:00,Lunes-Viernes,centroprevencion2017@gmail.com,5345 5199,5199,S/N,,19.4243727,-99.1473881,108,"19.4243727,-99.1473881"
70,Coordinación Territorial,AO-3,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida Toluca  10 S/N Progreso Tizapan Álvaro Obregón 01080 CDMX,Avenida Toluca,10,S/N,Progreso Tizapan,1080,Álvaro Obregón,Entre Periférico y Av. México,24 hrs.,Lunes-Domingo,S/C,5200 9594,S/N,S/N,,19.3402469,-99.2021877,2,"19.3402469,-99.2021877"
71,Coordinación Territorial,AO-4,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida Toluca  10 S/N Progreso Tizapan Álvaro Obregón 01081 CDMX,Avenida Toluca,10,S/N,Progreso Tizapan,1081,Álvaro Obregón,Entre Periférico y Av. México,24 hrs.,Lunes-Domingo,S/C,5200 9594,S/N,S/N,,19.3402469,-99.2021877,3,"19.3402469,-99.2021877"
72,Coordinación Territorial,AZC-2 y AZC-4,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,22 de febrero y Castilla Oriente  S/N S/N Del Maestro Azcapotzalco 02040 CDMX,22 de febrero y Castilla Oriente,S/N,S/N,Del Maestro,2040,Azcapotzalco,A un costado de la Alcaldia,24 hrs.,Lunes-Domingo,luzmaria_camacho@fgjcdmx.gob.mx,5346 8355,S/N,5346 8373,S/N,19.4840489,-99.1827767,4,"19.4840489,-99.1827767"
73,Coordinación Territorial,AZC-1 y AZC-3,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida de las Culturas y eje 5 Norte S/N S/N San Martin Xochinahuac Azcapotzalco 02120 CDMX,Avenida de las Culturas y eje 5 Norte,S/N,S/N,San Martin Xochinahuac,2120,Azcapotzalco,Metrobús Cultura,24 hrs.,Lunes-Domingo,nesllym_zambrano@fgjcdmx.gob.mx,53468383,S/N,53468398,S/N,19.5104046,-99.1921304,5,"19.5104046,-99.1921304"
74,Coordinación Territorial,COY-4,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Rey Tepalcanzin y Chichimecas S/N S/N Ajusco Coyoacán 04300 CDMX,Rey Tepalcanzin y Chichimecas,S/N,S/N,Ajusco,4300,Coyoacán,,24 hrs.,Lunes-Domingo,S/C,5200 9363,9363,S/N,,19.3189181,-99.1599963,12,"19.3189181,-99.1599963"
75,Coordinación Territorial,CUJ-1,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Cerrada de Ramirez  S/N S/N Cuajimalpa Centro Cuajimalpa 5000 CDMX,Cerrada de Ramirez,S/N,S/N,Cuajimalpa Centro,5000,Cuajimalpa,"Esquina con Calle Castillo Ledon, a un costado de sector de SSC Cuajimapa",24 hrs.,Lunes-Domingo,alberto_garcia.pelayo@fgj.cdmx.gob.mx,5346 8790,S/N,5346 8791,S/N,19.3570167,-99.2987741,14,"19.3570167,-99.2987741"
76,Coordinación Territorial,CUH-5,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Calle Santa María la Ribera 37 S/N Santa María la Ribera Cuauhtémoc 06400 CDMX,Calle Santa María la Ribera,37,S/N,Santa María la Ribera,6400,Cuauhtémoc,Cerca metro San Cosme,24 hrs.,Lunes-Domingo,S/C,5346 8733,S/N,5346 8732,S/N,19.4428373,-99.1580224,20,"19.4428373,-99.1580224"
77,Coordinación Territorial,CUH-7,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Calle Alvaro Obregón S/N S/N Roma Cuauhtémoc 06700 CDMX,Calle Alvaro Obregón,S/N,S/N,Roma,6700,Cuauhtémoc,Esquina Calle Valladolid,24 hrs.,Lunes-Domingo,S/C,5207 1619,S/N,5346 8706,S/N,19.4170423,-99.1673773,22,"19.4170423,-99.1673773"
78,Coordinación Territorial,GAM-2,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,"Avenida Congreso de la Unión, casi Av. Talismán S/N S/N Ampliación San Juan de Aragón Gustavo A. Madero 07490 CDMX","Avenida Congreso de la Unión, casi Av. Talismán",S/N,S/N,Ampliación San Juan de Aragón,7490,Gustavo A. Madero,Cerca de la estación metro Talismán,24 hrs.,Lunes-Domingo,S/C,5346 8060,S/N,5346 8050,S/N,19.474221,-99.1082244,25,"19.474221,-99.1082244"
79,Coordinación Territorial,GAM-3,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,"Cerrada Sur de los 100 metros,  S/N S/N Nueva Vallejo Gustavo A. Madero 07750 CDMX","Cerrada Sur de los 100 metros,",S/N,S/N,Nueva Vallejo,7750,Gustavo A. Madero,Entre Av. Vallejo y Av. 100 metros,24 hrs.,Lunes-Domingo,S/C,5346 8085,S/N,5346 8082,S/N,19.4843398,-99.1465851,26,"19.4843398,-99.1465851"
80,Coordinación Territorial,GAM-4,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida 5 de febrero y Vicente Villada S/N S/N Aragón La Villa Gustavo A. Madero 07050 CDMX,Avenida 5 de febrero y Vicente Villada,S/N,S/N,Aragón La Villa,7050,Gustavo A. Madero,Atrás del Edificio Alcaldía Gustavo A. Madero,24 hrs.,Lunes-Domingo,S/C,5346 8072,S/N,5346 8097,S/N,19.4828342,-99.1134336,27,"19.4828342,-99.1134336"
81,Coordinación Territorial,GAM-5,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida José Loreto Fabela y Av. 416 S/N S/N 7 Sección de San Juan de Aragón Gustavo A. Madero 07910 CDMX,Avenida José Loreto Fabela y Av. 416,S/N,S/N,7 Sección de San Juan de Aragón,7910,Gustavo A. Madero,A unos pasos estación metrobus pte. 416,24 hrs.,Lunes-Domingo,S/C,5346 8090,S/N,4680 940,S/N,19.4654545,-99.0820295,28,"19.4654545,-99.0820295"
82,Coordinación Territorial,GAM-7,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida 661  S/N S/N Narciso Bassols Gustavo A. Madero 07980 CDMX,Avenida 661,S/N,S/N,Narciso Bassols,7980,Gustavo A. Madero,Entre Av.  604 y Av. 606,24 hrs.,Lunes-Domingo,S/C,5346 8028,S/N,S/N,,19.4551132,-99.0603407,30,"19.4551132,-99.0603407"
83,Coordinación Territorial,IZC-1,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida Congreso de la Unión  S/N S/N Nueva Santa Anita  Iztacalco 08210 CDMX,Avenida Congreso de la Unión,S/N,S/N,Nueva Santa Anita,8210,Iztacalco,Costado del Metro Santa Anita,24 hrs.,Lunes-Domingo,S/C,5200 9180,S/N,S/N,,19.404121,-99.12067,32,"19.404121,-99.12067"
84,Coordinación Territorial,IZP-1 e IZP-4,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Callejón Victoria y 5 de Mayo S/N S/N Barrio San Lucas Iztapalapa 09000 CDMX,Callejón Victoria y 5 de Mayo,S/N,S/N,Barrio San Lucas,9000,Iztapalapa,Frente a plaza del mariachi,24 hrs.,Lunes-Domingo,S/C,5645 5680,5680,5645 5670,5670,19.3612978,-99.0974093,34,"19.3612978,-99.0974093"
